time,iowait,busy,hwCCRInit,hwCCAInit,hwCCRUpdate,hwCCAUpdate,hwCCRTerm,hwCCATerm,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime,MaxDelays,ER_118010161_1212,ER_412020474_0,ER_412020002_52442,ER_118010103_0,ER_0_59090795,ER_118013201_25286,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),E_OnlineVoiceEvent,E_OnlineGprsEvent,DiamBalanceQueryEvent,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),ER_118013105_536,ER_118013107_145,ER_0_221059,ER_118010202_51548,ER_118013201_1012,ER_118010106_0,ER_118013013_5101,SuccessRate(%),hwCCRInit,hwCCAInit,hwCCRUpdate,hwCCAUpdate,hwCCRTerm,hwCCATerm,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),ER_118013972_9123,ER_118013105_21604,ER_118013106_248,ER_118013107_0,ER_412020002_0,ER_0_4983593,ER_118010103_0,ER_118010202_141586,ER_118013201_2323,ER_118013004_8,ER_412220053_0,ER_118010106_159,ER_118013013_0,SuccessRate
1480551180,2.32,27.01,2009,2010,31674,31677,2094,2093,0,0,35777,35,35745,596,33,7,64,0,0,30,0,40829,10,209,209,209,0,209,3,3,25,79,14,43,0,148,148,148,27,121,2,2,6,35,1,0,73,24,0,0,1,73.74,346,346,180,180,277,277,0,0,803,44,759,13,5,5,25,3,2,0,0,0,759,0,38,1,0,0,0,0,94.52
1480551240,2.24,24.81,1943,1943,31515,31508,2105,2106,0,0,35563,44,35513,592,32,7,62,0,0,34,0,40605,16,187,187,187,0,187,3,3,24,72,0,,0,162,162,162,22,140,2,2,6,38,1,0,82,18,0,0,2,79.61,307,307,201,201,304,304,0,0,812,31,781,13,5,6,48,2,3,0,0,0,781,0,26,0,0,0,0,0,96.18
1480551300,2.23,25.81,1855,1855,32627,32631,2032,2032,0,0,36514,45,36473,608,30,7,76,6,0,32,0,41651,13,183,183,183,0,183,3,3,26,66,0,18,0,199,199,199,33,166,3,3,6,17,1,0,113,27,0,0,1,77.93,289,289,177,177,278,278,0,0,744,45,699,12,4,6,46,1,2,0,0,0,699,0,41,1,0,0,0,0,93.95
1480551360,2.26,24.94,1854,1854,31992,31994,2072,2072,0,0,35918,27,35893,598,30,7,62,0,0,26,0,41064,7,211,211,211,0,211,3,3,25,72,14,0,0,217,217,217,46,171,3,3,6,45,0,0,104,37,0,0,1,71.72,285,285,174,174,242,242,0,0,701,46,655,11,4,6,54,2,4,0,0,0,655,0,40,0,0,0,0,0,93.44
1480551420,2.29,24.24,1877,1876,31991,31989,2088,2088,0,0,35956,28,35925,599,31,7,59,0,0,22,0,41039,10,210,210,210,0,210,3,3,27,338,7,6,1,179,179,179,24,155,2,2,6,47,0,0,99,21,0,0,2,81.15,274,274,184,184,219,219,0,0,677,38,639,11,4,6,14,1,3,0,0,0,639,0,34,0,0,0,0,0,94.39
1480551480,2.19,25.1,1893,1894,31915,31917,2056,2055,0,0,35864,33,35833,597,31,7,60,1,0,23,0,40974,13,171,171,171,0,171,2,2,25,59,0,29,0,169,169,169,18,151,2,2,6,15,0,0,99,15,0,0,1,86.09,300,300,172,172,260,260,0,0,732,30,702,12,5,6,58,2,1,0,0,0,702,0,27,0,0,0,0,0,95.9
1480551540,2.2,24.86,1968,1968,31937,31935,2011,2011,0,0,35916,43,35871,598,32,7,58,5,0,37,0,40957,10,185,185,185,0,185,3,3,25,62,0,12,1,152,152,152,25,127,2,2,6,27,1,0,84,18,0,0,2,80,269,269,191,191,251,251,0,0,711,39,672,11,4,6,49,4,2,0,0,0,672,0,32,1,0,0,0,0,94.51
1480551600,2.25,24.65,1814,1814,31639,31642,2041,2042,0,0,35494,35,35463,591,30,7,56,0,0,28,0,40498,14,145,145,145,0,145,2,2,24,51,0,5,3,162,162,162,32,130,2,2,6,45,1,0,85,22,0,0,3,76.58,303,303,160,160,257,257,0,0,720,43,677,12,5,6,48,2,4,1,0,0,677,0,36,0,0,0,0,0,94.03
1480551660,0.74,22.63,1835,1835,31193,31189,2007,2007,0,0,35035,33,34998,583,30,6,59,0,0,34,0,39977,8,135,135,135,0,135,2,2,24,48,0,44,2,159,159,159,32,127,2,2,6,26,1,0,94,25,0,0,2,77.05,264,264,159,159,233,233,0,0,656,35,621,10,4,6,49,0,4,0,0,0,621,0,31,0,0,0,0,0,94.66
1480551720,0.29,22.35,1809,1809,31310,31313,1997,1996,0,0,35116,26,35092,585,30,7,64,0,0,23,0,40123,7,166,166,166,0,166,2,2,26,75,5,,2,150,150,150,20,130,2,2,6,51,0,0,74,17,0,0,0,81.32,269,269,163,163,227,227,0,0,659,36,623,10,4,6,16,1,6,0,0,0,623,0,29,0,0,0,0,0,94.54
1480551780,1.35,23.02,1805,1805,31261,31260,1972,1972,0,0,35038,29,35008,583,30,7,59,0,0,22,0,40009,10,145,145,145,0,145,2,2,25,87,0,10,0,162,162,162,32,130,2,2,6,12,2,0,81,27,0,0,2,72.32,253,253,162,162,244,244,0,0,659,39,620,10,4,6,52,2,4,0,0,0,620,0,33,0,0,0,0,0,94.08
1480551840,2.23,24.24,1661,1661,31424,31424,1864,1865,0,0,34949,38,34912,582,27,7,62,0,0,32,0,39830,14,135,135,135,0,135,2,2,27,70,0,14,0,155,155,155,26,129,2,2,6,12,0,0,91,23,0,0,2,78.45,288,288,154,154,237,237,0,0,679,40,639,11,4,6,51,1,3,0,0,0,639,0,36,0,0,0,0,0,94.11
1480551900,2.31,23.77,1750,1749,31260,31256,1901,1901,0,0,34911,36,34870,581,29,7,60,0,0,29,0,39887,13,154,154,154,0,154,2,2,26,66,0,,0,154,154,154,27,127,2,2,6,31,0,0,80,25,0,0,1,75.47,251,251,162,162,228,228,0,0,641,35,606,10,4,6,20,0,2,0,0,0,606,0,33,0,0,0,0,0,94.54
1480551960,2.25,23.82,1771,1772,31231,31236,1983,1983,0,0,34985,42,34949,583,29,6,60,0,0,31,0,39926,15,129,129,129,0,129,2,2,24,64,14,5,0,154,154,154,32,122,2,2,6,14,0,0,95,29,1,0,1,75.4,261,261,162,162,230,230,0,0,653,44,609,10,4,6,32,3,2,0,0,0,609,0,38,1,0,0,0,0,93.26
1480552020,2.18,24.2,1749,1749,30975,30974,1822,1822,0,0,34546,39,34506,575,29,7,59,4,0,29,0,39448,13,126,125,126,0,125,2,2,26,83,4,48,4,156,156,156,39,117,2,2,6,10,0,0,84,34,1,0,1,70,254,254,163,163,195,195,0,0,612,50,562,10,4,6,51,8,1,0,0,0,562,0,41,0,0,0,0,0,91.83
1480552080,0.94,22.47,1679,1678,31122,31121,1919,1919,0,0,34720,29,34689,578,27,7,63,2,0,24,0,39736,10,137,138,137,0,138,2,2,24,62,12,,5,147,147,147,31,116,2,2,7,40,0,0,83,26,0,0,3,74.11,278,278,149,149,214,214,0,0,641,42,599,10,4,6,55,2,3,0,0,0,599,0,35,2,0,0,0,0,93.45
1480552140,0.28,23.25,2287,2288,31164,31163,2456,2456,0,0,35907,43,35864,598,38,7,66,0,0,32,0,40957,13,153,153,153,0,153,2,2,24,66,0,40,0,132,132,132,25,107,2,2,5,9,0,0,74,20,0,0,2,77.08,221,221,134,134,233,233,0,0,588,35,553,9,3,6,47,3,2,0,0,0,553,0,30,0,0,0,0,0,94.05
1480552200,0.29,22.12,2095,2095,31457,31457,2212,2212,0,0,35764,42,35722,596,34,7,64,0,0,32,0,40806,15,141,141,141,0,141,2,2,23,45,0,,0,133,133,133,18,115,2,2,6,14,0,0,78,11,0,0,0,87.64,227,227,152,152,199,199,0,0,578,31,547,9,3,6,49,2,3,0,0,0,547,0,25,1,0,0,0,0,94.64
1480552260,1.54,23.09,1776,1775,31371,31369,1903,1903,0,0,35050,46,35001,584,29,7,56,5,0,35,0,39994,12,132,132,132,1,131,2,2,25,48,6,4,3,113,113,113,22,91,1,1,6,41,0,0,62,16,0,0,2,77.5,264,264,135,135,195,195,0,0,594,32,562,9,4,6,32,4,8,0,0,0,562,0,20,0,0,0,0,0,94.61
1480552320,2.17,24.9,1781,1782,30944,30947,1917,1917,0,0,34642,49,34597,577,29,7,64,1,0,34,0,39474,17,114,114,114,0,114,1,1,24,75,8,16,0,130,130,130,32,98,2,2,6,44,0,0,67,22,3,0,0,72.83,217,217,161,161,212,212,0,0,590,23,567,9,3,6,45,5,3,0,0,0,567,0,15,0,0,0,0,0,96.1
1480552380,2.23,23.5,1618,1618,30767,30766,1776,1776,0,0,34161,35,34125,569,26,7,67,0,0,25,0,39018,19,106,106,106,0,106,1,1,26,68,0,14,0,132,132,132,29,103,2,2,5,9,0,0,65,22,2,0,1,72.22,245,245,126,126,225,225,0,0,596,26,570,9,4,6,12,0,5,0,0,0,570,0,21,0,0,0,0,0,95.64
1480552440,2.17,24.09,1617,1617,30958,30960,1724,1724,0,0,34299,39,34262,571,26,7,61,0,0,32,0,39133,12,117,117,117,0,117,1,1,24,47,0,26,2,120,120,120,27,93,2,2,6,9,2,0,64,23,0,0,2,70.33,239,239,140,140,217,217,0,0,596,18,578,9,3,6,56,1,4,0,0,0,578,0,13,0,0,0,0,0,96.98
1480552500,2.15,23.95,1552,1552,30718,30716,1769,1768,0,0,34039,41,33995,567,25,7,54,0,0,34,0,38830,12,94,94,94,0,94,1,1,27,49,2,15,0,130,130,130,24,106,2,2,6,10,0,0,79,23,0,0,1,76.7,205,205,146,146,194,194,0,0,545,18,527,9,3,6,36,1,3,0,0,0,527,0,14,0,0,0,0,0,96.7
1480552560,0.92,22.04,1624,1623,30356,30356,1737,1738,0,0,33717,26,33691,561,27,7,61,0,0,20,0,38491,10,97,97,97,0,97,1,1,26,84,0,11,2,118,118,118,18,100,1,1,6,26,0,0,77,14,0,0,1,83.7,204,204,129,129,189,189,0,0,522,27,495,8,3,6,19,3,5,0,0,0,495,0,19,0,0,0,0,0,94.83
1480552620,0.21,21.09,1563,1564,30230,30230,1821,1821,0,0,33614,39,33576,560,26,7,64,0,0,35,0,38374,8,101,101,101,0,101,1,1,26,70,1,,0,101,101,101,22,79,1,1,6,46,0,0,54,18,0,0,2,72.97,208,208,148,148,197,197,0,0,553,22,531,9,3,6,30,1,4,0,0,0,531,0,16,1,0,0,0,0,96.02
1480552680,0.27,20.95,1582,1582,30279,30273,1775,1775,0,0,33636,32,33598,560,26,7,56,0,0,26,0,38438,11,102,102,102,0,102,1,1,25,69,0,5,0,107,107,107,16,91,1,1,6,10,0,0,60,15,0,0,1,78.95,190,190,129,129,185,185,0,0,504,24,480,8,3,6,25,3,4,0,0,0,480,0,17,0,0,0,0,0,95.24
1480552740,0.65,21.93,1607,1607,30432,30439,1807,1807,0,0,33846,33,33820,564,26,7,63,3,0,26,0,38602,11,100,100,100,0,100,1,1,26,67,12,31,0,134,134,134,23,111,2,2,6,13,1,0,71,18,0,0,0,78.89,205,205,133,133,169,169,0,0,507,22,485,8,3,6,50,0,4,0,0,0,485,0,17,1,0,0,0,0,95.66
1480552800,2.29,24.04,1682,1682,30072,30071,1827,1827,0,0,33581,43,33537,559,28,7,57,6,0,34,0,38318,13,104,104,104,0,104,1,1,25,59,6,6,4,140,140,140,31,109,2,2,6,41,1,0,80,23,0,0,3,74.77,172,172,133,133,146,146,0,0,451,24,427,7,2,6,14,2,4,0,0,0,427,0,18,0,0,0,0,0,94.68
1480552860,2.27,23.02,1601,1600,30036,30034,1809,1808,0,0,33446,29,33413,557,26,7,57,1,0,14,0,38175,15,92,92,92,0,92,1,1,26,46,0,9,2,114,114,114,23,91,1,1,5,10,2,0,76,21,0,0,0,76.77,186,186,125,125,163,163,0,0,474,28,446,7,3,6,55,3,11,0,0,0,446,0,14,0,0,0,0,0,94.09
1480552920,2.24,23.57,1590,1591,30021,30025,1736,1737,0,0,33348,33,33320,555,26,7,58,0,0,33,0,38102,9,87,87,87,0,87,1,1,25,53,6,19,0,102,102,102,22,80,1,1,6,12,0,0,58,18,0,0,2,74.36,194,194,110,110,155,155,0,0,459,25,434,7,3,6,41,1,2,0,0,0,434,0,22,0,0,0,0,0,94.55
1480552980,2.2,23.23,1636,1636,30151,30154,1816,1816,0,0,33602,24,33582,560,27,7,58,2,0,20,0,38404,9,92,92,92,0,92,1,1,27,46,0,6,0,89,89,89,18,71,1,1,5,9,3,0,47,15,0,0,0,72.31,189,189,132,132,181,181,0,0,502,20,482,8,3,6,55,0,3,0,0,0,482,0,17,0,0,0,0,0,96.02
1480553040,1.72,22.17,1586,1586,31106,31102,1705,1705,0,0,34397,33,34360,573,26,7,56,4,0,25,0,39279,7,100,100,100,0,100,1,1,26,76,6,9,0,113,112,113,14,98,1,1,5,11,0,0,71,12,0,0,1,84.52,170,170,118,118,148,148,0,0,436,24,412,7,2,6,9,2,3,0,0,0,412,0,19,0,0,0,0,0,94.5
1480553100,0.22,21.77,1570,1570,31174,31174,1750,1749,0,0,34494,38,34455,574,26,7,61,0,0,39,0,39387,8,92,92,92,0,92,1,1,28,116,0,10,0,122,123,122,23,100,2,2,5,29,0,0,73,21,0,0,0,77.66,190,190,123,123,179,178,0,0,492,28,463,8,3,6,54,0,2,0,0,0,463,0,26,0,0,0,0,0,94.3
1480553160,0.25,21.55,1640,1640,30710,30709,1756,1757,0,0,34106,43,34063,568,27,7,60,0,0,37,0,38924,16,82,82,82,0,82,1,1,25,62,2,,2,116,116,116,15,101,1,1,5,11,0,0,78,11,0,0,3,84.78,166,166,116,116,154,155,0,0,436,19,418,7,2,6,13,0,0,0,0,0,418,0,19,0,0,0,0,0,95.65
